
TEST CASES
case	firstName	lastName	email	gender	mobileNumber	dateOfBirth	hobbiesSports	hobbiesReading	hobbiesMusic	fileType	location	address	pairings
1	Lewies Thor	Thor	lewiesthor@gmail.com	M	91239123	17061995	TRUE	TRUE	TRUE	txt	WEST	test address blk 1 #01-01	66
2	empty	empty	lewiesthor	F	91239123	17062050	FALSE	FALSE	FALSE	img	EAST	91239123	66
3	1234	4321	lewiesthor	empty	9123912	17061850	TRUE	FALSE	TRUE	pdf	WEST	!@#$!@#$	62
4	!@#$	$#@!	lewiesthor@gmail.com	M	9123912	19950617	FALSE	TRUE	FALSE	empty	EAST	empty	60
5	empty	4321	lewiesthor@gmail	F	912391234	17061995	TRUE	TRUE	FALSE	empty	SOUTH	test address blk 1 #01-01	53
6	Lewies Thor	$#@!	@gmail.com	empty	912391234	17062050	FALSE	TRUE	TRUE	pdf	NORTH	91239123	53
7	!@#$	Thor	@gmail.com	M	text	17061850	FALSE	FALSE	FALSE	img	SOUTH	!@#$!@#$	49
8	1234	empty	lewiesthor@gmail	F	text	19950617	TRUE	FALSE	TRUE	txt	NORTH	empty	49
9	1234	$#@!	empty	empty	!@#$	empty	TRUE	TRUE	FALSE	img	CENTRAL	test address blk 1 #01-01	52
10	!@#$	empty	empty	M	!@#$	17061995	FALSE	FALSE	TRUE	pdf	empty	91239123	43
11	Lewies Thor	empty	lewiesthor@gmail.com	F	empty	empty	FALSE	FALSE	TRUE	empty	CENTRAL	!@#$!@#$	44
12	1234	Thor	lewiesthor	empty	empty	17062050	FALSE	TRUE	FALSE	txt	empty	test address blk 1 #01-01	34
13	!@#$	4321	lewiesthor@gmail	M	912391234	17062050	FALSE	FALSE	TRUE	img	WEST	empty	28
14	empty	$#@!	@gmail.com	empty	text	17061995	TRUE	TRUE	TRUE	pdf	EAST	!@#$!@#$	27
15	empty	Thor	@gmail.com	F	empty	19950617	TRUE	~FALSE	FALSE	pdf	WEST	empty	26
16	Lewies Thor	$#@!	empty	F	91239123	17061850	~FALSE	TRUE	FALSE	txt	SOUTH	empty	25
17	!@#$	4321	lewiesthor@gmail.com	empty	91239123	empty	TRUE	~FALSE	FALSE	empty	NORTH	91239123	24
18	Lewies Thor	empty	lewiesthor	M	9123912	empty	~TRUE	TRUE	TRUE	pdf	SOUTH	test address blk 1 #01-01	18
19	empty	Thor	lewiesthor@gmail	F	9123912	17061850	TRUE	~TRUE	~TRUE	empty	empty	91239123	20
20	Lewies Thor	4321	lewiesthor@gmail	empty	!@#$	19950617	~FALSE	~TRUE	~FALSE	img	NORTH	!@#$!@#$	18
21	1234	Thor	empty	M	!@#$	17062050	TRUE	FALSE	~TRUE	empty	EAST	test address blk 1 #01-01	16
22	!@#$	$#@!	lewiesthor	M	empty	17061995	~TRUE	FALSE	~TRUE	txt	CENTRAL	empty	17
23	empty	empty	@gmail.com	M	912391234	empty	~FALSE	~TRUE	~FALSE	txt	CENTRAL	!@#$!@#$	15
24	1234	4321	lewiesthor@gmail.com	empty	text	empty	~FALSE	~TRUE	~FALSE	img	empty	empty	13
25	!@#$	empty	@gmail.com	F	!@#$	17061850	~FALSE	~TRUE	~FALSE	txt	WEST	test address blk 1 #01-01	11
26	1234	4321	@gmail.com	~M	91239123	19950617	~TRUE	~FALSE	~TRUE	txt	empty	91239123	12
27	empty	4321	empty	M	empty	17061995	~FALSE	~FALSE	~TRUE	img	NORTH	test address blk 1 #01-01	12
28	Lewies Thor	empty	empty	empty	text	17062050	~TRUE	~FALSE	~FALSE	empty	WEST	!@#$!@#$	10
29	1234	Thor	lewiesthor@gmail.com	~F	912391234	17061850	~TRUE	~FALSE	~FALSE	pdf	EAST	~91239123	8
30	1234	$#@!	lewiesthor@gmail	~F	9123912	17061995	~FALSE	~FALSE	~FALSE	pdf	CENTRAL	91239123	8
31	empty	~$#@!	lewiesthor@gmail.com	empty	empty	19950617	~TRUE	~TRUE	~TRUE	~img	SOUTH	91239123	7
32	Lewies Thor	Thor	lewiesthor@gmail	~empty	91239123	empty	~FALSE	~FALSE	~TRUE	txt	EAST	!@#$!@#$	8
33	~!@#$	Thor	lewiesthor	~F	9123912	19950617	~FALSE	~TRUE	~TRUE	empty	NORTH	test address blk 1 #01-01	6
34	empty	~empty	lewiesthor@gmail.com	~empty	!@#$	17062050	~TRUE	~FALSE	~FALSE	~txt	SOUTH	empty	6
35	Lewies Thor	$#@!	empty	~F	912391234	19950617	~TRUE	~TRUE	~FALSE	~img	empty	!@#$!@#$	7
36	~Lewies Thor	4321	lewiesthor	~M	text	17061850	~FALSE	~TRUE	~TRUE	~empty	CENTRAL	91239123	5
37	~1234	$#@!	@gmail.com	~empty	9123912	empty	~FALSE	~FALSE	~FALSE	empty	WEST	91239123	5
38	~!@#$	4321	lewiesthor@gmail	~empty	empty	17061850	~TRUE	~TRUE	~FALSE	~pdf	EAST	~test address blk 1 #01-01	4
39	~!@#$	Thor	empty	~empty	9123912	17062050	~TRUE	~TRUE	~TRUE	img	CENTRAL	~empty	5
40	~1234	~empty	~@gmail.com	~M	91239123	19950617	~FALSE	~FALSE	~TRUE	pdf	CENTRAL	~test address blk 1 #01-01	3
41	~empty	~$#@!	lewiesthor	~M	912391234	17061850	~TRUE	~FALSE	~FALSE	~txt	NORTH	~empty	2
42	1234	~4321	lewiesthor	~F	!@#$	~17061995	~FALSE	~TRUE	~TRUE	~empty	SOUTH	~!@#$!@#$	2
43	~empty	~$#@!	~empty	~F	text	~empty	~FALSE	~FALSE	~TRUE	~pdf	~WEST	test address blk 1 #01-01	1
44	~Lewies Thor	~4321	~@gmail.com	~empty	9123912	~17061995	~TRUE	~TRUE	~FALSE	txt	~SOUTH	~empty	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
mobileNumber	location	91239123	WEST	1	1
mobileNumber	location	91239123	EAST	2	2, 32
mobileNumber	location	91239123	SOUTH	1	16
mobileNumber	location	91239123	NORTH	1	17
mobileNumber	location	91239123	CENTRAL	1	40
mobileNumber	location	91239123	empty	1	26
mobileNumber	location	9123912	WEST	2	3, 37
mobileNumber	location	9123912	EAST	1	4
mobileNumber	location	9123912	SOUTH	2	18, 44
mobileNumber	location	9123912	NORTH	1	33
mobileNumber	location	9123912	CENTRAL	2	30, 39
mobileNumber	location	9123912	empty	1	19
mobileNumber	location	912391234	WEST	1	13
mobileNumber	location	912391234	EAST	1	29
mobileNumber	location	912391234	SOUTH	1	5
mobileNumber	location	912391234	NORTH	2	6, 41
mobileNumber	location	912391234	CENTRAL	1	23
mobileNumber	location	912391234	empty	1	35
mobileNumber	location	text	WEST	2	28, 43
mobileNumber	location	text	EAST	1	14
mobileNumber	location	text	SOUTH	1	7
mobileNumber	location	text	NORTH	1	8
mobileNumber	location	text	CENTRAL	1	36
mobileNumber	location	text	empty	1	24
mobileNumber	location	!@#$	WEST	1	25
mobileNumber	location	!@#$	EAST	1	21
mobileNumber	location	!@#$	SOUTH	2	34, 42
mobileNumber	location	!@#$	NORTH	1	20
mobileNumber	location	!@#$	CENTRAL	1	9
mobileNumber	location	!@#$	empty	1	10
mobileNumber	location	empty	WEST	1	15
mobileNumber	location	empty	EAST	1	38
mobileNumber	location	empty	SOUTH	1	31
mobileNumber	location	empty	NORTH	1	27
mobileNumber	location	empty	CENTRAL	2	11, 22
mobileNumber	location	empty	empty	1	12
mobileNumber	email	91239123	lewiesthor@gmail.com	2	1, 17
mobileNumber	email	91239123	lewiesthor	1	2
mobileNumber	email	91239123	lewiesthor@gmail	1	32
mobileNumber	email	91239123	@gmail.com	2	26, 40
mobileNumber	email	91239123	empty	1	16
mobileNumber	email	9123912	lewiesthor@gmail.com	1	4
mobileNumber	email	9123912	lewiesthor	3	3, 18, 33
mobileNumber	email	9123912	lewiesthor@gmail	2	19, 30
mobileNumber	email	9123912	@gmail.com	2	37, 44
mobileNumber	email	9123912	empty	1	39
mobileNumber	email	912391234	lewiesthor@gmail.com	1	29
mobileNumber	email	912391234	lewiesthor	1	41
mobileNumber	email	912391234	lewiesthor@gmail	2	5, 13
mobileNumber	email	912391234	@gmail.com	2	6, 23
mobileNumber	email	912391234	empty	1	35
mobileNumber	email	text	lewiesthor@gmail.com	1	24
mobileNumber	email	text	lewiesthor	1	36
mobileNumber	email	text	lewiesthor@gmail	1	8
mobileNumber	email	text	@gmail.com	2	7, 14
mobileNumber	email	text	empty	2	28, 43
mobileNumber	email	!@#$	lewiesthor@gmail.com	1	34
mobileNumber	email	!@#$	lewiesthor	1	42
mobileNumber	email	!@#$	lewiesthor@gmail	1	20
mobileNumber	email	!@#$	@gmail.com	1	25
mobileNumber	email	!@#$	empty	3	9, 10, 21
mobileNumber	email	empty	lewiesthor@gmail.com	2	11, 31
mobileNumber	email	empty	lewiesthor	2	12, 22
mobileNumber	email	empty	lewiesthor@gmail	1	38
mobileNumber	email	empty	@gmail.com	1	15
mobileNumber	email	empty	empty	1	27
mobileNumber	dateOfBirth	91239123	17061995	1	1
mobileNumber	dateOfBirth	91239123	17062050	1	2
mobileNumber	dateOfBirth	91239123	17061850	1	16
mobileNumber	dateOfBirth	91239123	19950617	2	26, 40
mobileNumber	dateOfBirth	91239123	empty	2	17, 32
mobileNumber	dateOfBirth	9123912	17061995	2	30, 44
mobileNumber	dateOfBirth	9123912	17062050	1	39
mobileNumber	dateOfBirth	9123912	17061850	2	3, 19
mobileNumber	dateOfBirth	9123912	19950617	2	4, 33
mobileNumber	dateOfBirth	9123912	empty	2	18, 37
mobileNumber	dateOfBirth	912391234	17061995	1	5
mobileNumber	dateOfBirth	912391234	17062050	2	6, 13
mobileNumber	dateOfBirth	912391234	17061850	2	29, 41
mobileNumber	dateOfBirth	912391234	19950617	1	35
mobileNumber	dateOfBirth	912391234	empty	1	23
mobileNumber	dateOfBirth	text	17061995	1	14
mobileNumber	dateOfBirth	text	17062050	1	28
mobileNumber	dateOfBirth	text	17061850	2	7, 36
mobileNumber	dateOfBirth	text	19950617	1	8
mobileNumber	dateOfBirth	text	empty	2	24, 43
mobileNumber	dateOfBirth	!@#$	17061995	2	10, 42
mobileNumber	dateOfBirth	!@#$	17062050	2	21, 34
mobileNumber	dateOfBirth	!@#$	17061850	1	25
mobileNumber	dateOfBirth	!@#$	19950617	1	20
mobileNumber	dateOfBirth	!@#$	empty	1	9
mobileNumber	dateOfBirth	empty	17061995	2	22, 27
mobileNumber	dateOfBirth	empty	17062050	1	12
mobileNumber	dateOfBirth	empty	17061850	1	38
mobileNumber	dateOfBirth	empty	19950617	2	15, 31
mobileNumber	dateOfBirth	empty	empty	1	11
mobileNumber	firstName	91239123	Lewies Thor	3	1, 16, 32
mobileNumber	firstName	91239123	empty	1	2
mobileNumber	firstName	91239123	1234	2	26, 40
mobileNumber	firstName	91239123	!@#$	1	17
mobileNumber	firstName	9123912	Lewies Thor	2	18, 44
mobileNumber	firstName	9123912	empty	1	19
mobileNumber	firstName	9123912	1234	3	3, 30, 37
mobileNumber	firstName	9123912	!@#$	3	4, 33, 39
mobileNumber	firstName	912391234	Lewies Thor	2	6, 35
mobileNumber	firstName	912391234	empty	3	5, 23, 41
mobileNumber	firstName	912391234	1234	1	29
mobileNumber	firstName	912391234	!@#$	1	13
mobileNumber	firstName	text	Lewies Thor	2	28, 36
mobileNumber	firstName	text	empty	2	14, 43
mobileNumber	firstName	text	1234	2	8, 24
mobileNumber	firstName	text	!@#$	1	7
mobileNumber	firstName	!@#$	Lewies Thor	1	20
mobileNumber	firstName	!@#$	empty	1	34
